,x,y,cluster,r,g,b
52450,-26.509918,69.10558,22,0,154,7
65504,33.7882,-46.506904999999996,7,23,0,167
46763,47.416336,-11.698053,16,0,161,195
17805,-8.682871,-86.53445,6,77,0,160
278,22.956762,-53.121853,7,23,0,167
58071,59.072342000000006,27.721882,3,122,0,138
1841,-23.514104999999997,-20.608118,18,0,170,157
16430,59.000603000000005,-3.5524227999999995,16,0,161,195
67981,21.643082,85.03896999999999,23,0,166,0
77026,33.865944,73.87994,23,0,166,0
8938,2.0444903,-59.316063,44,222,0,0
64778,26.120892,75.09875,23,0,166,0
6188,-0.37941107,41.285786,34,231,239,0
14926,69.40671999999999,44.069057,38,255,177,0
42009,4.9311404,72.13991,1,46,0,53
7475,-1.2302336,7.1217527,14,0,143,221
53277,-4.375738,76.26484,1,46,0,53
65317,-3.4776733,6.206316,14,0,143,221
19284,3.8483650000000003,99.93794,1,46,0,53
50326,45.763077,60.875885,31,117,255,0
8150,-54.534874,-30.366352000000003,4,128,0,145
67492,-28.434269,-27.201548,18,0,170,157
68462,-47.807390000000005,-9.087042,27,0,223,0
19130,-8.179963,34.778427,34,231,239,0
66432,-68.99349000000001,-61.56766,43,235,0,0
59391,60.125416,-70.72737,49,204,204,204
64354,-31.929508000000002,-16.110828,5,130,0,153
25867,-74.813835,-14.151775,8,0,0,181
48088,-72.65844,-32.687836,45,213,0,0
5832,50.488026,44.73044,3,122,0,138
34717,55.17861,-8.198615,16,0,161,195
29821,1.2066127,74.55074,1,46,0,53
24705,-8.050028999999999,-88.69178000000001,6,77,0,160
21885,58.825104,-15.342301,42,249,0,0
84813,49.641296000000004,-9.230642999999999,16,0,161,195
10955,-33.60924,67.8814,22,0,154,7
49968,16.69762,-1.8334694999999999,30,43,255,0
43515,61.665222,-14.830667499999999,42,249,0,0
60834,13.348042499999998,13.593019,29,0,249,0
69250,-47.975840000000005,-5.3858557000000005,27,0,223,0
34653,-10.991384,28.65633,34,231,239,0
23973,78.32396999999999,-1.6004776,15,0,155,215
60322,55.088269999999994,38.411194,3,122,0,138
86297,-94.731255,-2.5896375,36,250,212,0
35034,68.24403000000001,-18.801737,42,249,0,0
62414,-29.186583000000002,-91.75667,10,0,9,221
49513,5.101831,-58.58856,44,222,0,0
37046,-18.740343,-4.3450313,14,0,143,221
66570,-69.95355,73.08264,13,0,127,221
48072,-77.65733,-40.7673,45,213,0,0
28083,75.358215,38.98937,38,255,177,0
19424,-49.680588,-2.2315514,27,0,223,0
52172,-66.26225,-5.624772,35,242,228,0
58162,-1.3450773999999999,68.046936,1,46,0,53
66835,80.016975,39.866413,38,255,177,0
78098,-0.06504938,-11.797136,33,211,246,0
23945,-25.331348000000002,43.413154999999996,41,255,32,0
3310,-89.64817,38.561203000000006,28,0,236,0
84641,53.411269999999995,40.949059999999996,3,122,0,138
47787,57.678635,-70.55837,49,204,204,204
11753,4.7099404,-56.38404499999999,44,222,0,0
53432,-66.26225,-5.624772,35,242,228,0
64426,2.0447976999999997,-8.774436,33,211,246,0
84219,14.135655999999999,17.56387,29,0,249,0
39971,51.281494,40.60125,3,122,0,138
28862,29.20216,75.37893000000001,23,0,166,0
62841,-52.178196,53.65258000000001,13,0,127,221
17249,-70.81848000000001,73.192154,13,0,127,221
80128,87.28697,16.242867,37,255,197,0
31161,51.66251,67.9822,31,117,255,0
45962,11.781057,16.282595,29,0,249,0
49495,-14.286403,15.061425,14,0,143,221
80331,-3.26565,83.475235,1,46,0,53
86130,39.705902,5.488126,11,0,56,221
4072,-70.44295,73.56905,13,0,127,221
58673,-37.294952,-47.775271999999994,4,128,0,145
22273,-27.716333000000002,45.935978000000006,41,255,32,0
45744,-37.277390000000004,25.232172,9,0,0,205
36828,-14.076167000000002,64.45461,47,204,44,44
26031,31.520605,51.877827,17,0,168,175
82600,-55.272521999999995,-36.96287,4,128,0,145
63122,32.232468,37.419284999999995,46,207,0,0
49707,-73.7007,-52.062129999999996,43,235,0,0
9406,28.863692999999998,0.36946428,48,204,124,124
32339,-46.140404,-37.227463,4,128,0,145
14475,-6.909163499999999,66.11678,47,204,44,44
58892,55.829983,1.2172776,16,0,161,195
15244,38.432434,-83.70671999999999,0,0,0,0
66265,37.346565000000005,2.7317636000000003,48,204,124,124
9555,72.92331999999999,45.44655,38,255,177,0
28864,2.625883,36.13745,34,231,239,0
8181,-11.300048,-87.011894,6,77,0,160
81286,25.649057,-57.544630000000005,7,23,0,167
77953,-96.65568499999999,-2.3904900000000002,36,250,212,0
11803,5.9251,-101.68965,6,77,0,160
1152,-14.406301500000001,62.799854,47,204,44,44
69372,3.8368971,25.442429,29,0,249,0
68661,23.203885999999997,-46.012943,7,23,0,167
40497,-68.14527,-36.146873,45,213,0,0
1003,54.643947999999995,62.51096,31,117,255,0
18849,41.06244,9.3435545,11,0,56,221
73002,45.90345,43.128479999999996,3,122,0,138
15054,5.640729,98.0985,1,46,0,53
44311,54.69328,7.9686,11,0,56,221
36702,24.612991,54.272175,17,0,168,175
38422,16.308142,52.053364,17,0,168,175
68605,-41.662544,40.10395,39,255,157,0
33929,-22.768279999999997,8.786447,14,0,143,221
55876,87.21173,15.884626999999998,37,255,197,0
379,6.8483996,-104.49298,6,77,0,160
26550,-29.350851000000002,57.79834,22,0,154,7
27286,-8.719716,54.48720600000001,47,204,44,44
48891,40.051975,21.025913,11,0,56,221
71096,58.782986,-14.150210000000001,16,0,161,195
21377,86.30875999999999,15.611532,37,255,197,0
86309,29.054015999999997,-55.9447,7,23,0,167
29305,-52.193690000000004,-80.44108,10,0,9,221
44457,-28.519508000000002,-46.663063,4,128,0,145
82826,-13.103996,-89.50641999999999,6,77,0,160
26051,-55.505340000000004,-38.492012,4,128,0,145
61761,-1.3480178999999999,32.947437,34,231,239,0
51915,-59.387119999999996,-12.678583999999999,35,242,228,0
5775,45.392227,-9.82864,16,0,161,195
42945,33.638946999999995,74.37087,23,0,166,0
73020,26.339378000000004,46.62981,17,0,168,175
31162,-10.184689500000001,-89.74275,6,77,0,160
54310,-71.16534,-12.155576,35,242,228,0
13643,74.67081999999999,38.671135,38,255,177,0
782,48.801598,64.85337,31,117,255,0
84332,-64.731865,-36.664215000000006,45,213,0,0
13977,-4.2884803,-59.050312,44,222,0,0
77014,73.55705,33.696762,38,255,177,0
70295,-36.478493,-49.521164,4,128,0,145
24147,12.564121,-79.68556,0,0,0,0
11446,74.830124,-42.263275,26,0,207,0
38116,-2.2679357999999996,6.745610000000001,14,0,143,221
84097,-50.58868,0.3362024,27,0,223,0
86527,-49.858395,77.85378,2,93,0,106
37115,2.6404617000000004,41.513690000000004,34,231,239,0
3826,76.570885,13.429735,37,255,197,0
81455,-5.8409557,41.203777,34,231,239,0
28316,14.385616,-77.30279,0,0,0,0
7126,-34.803608000000004,22.114239,9,0,0,205
3615,-24.495794,73.16958000000001,22,0,154,7
76395,26.453249,46.472305,17,0,168,175
72453,7.690357700000001,-25.154954999999998,19,0,170,143
37376,82.867134,18.596339999999998,37,255,197,0
23619,-6.468508,41.790805999999996,34,231,239,0
75002,29.11532,-3.2585096,48,204,124,124
79928,-41.39065,4.819268,27,0,223,0
75407,79.92549,19.170137,37,255,197,0
66513,7.372961999999999,-6.947636999999999,33,211,246,0
60125,-32.542896,-68.412025,40,255,105,0
50009,10.973394,15.621626000000001,29,0,249,0
84766,-23.141834,10.186653,14,0,143,221
32139,52.44021,-51.230827000000005,49,204,204,204
53862,-31.76432,-90.13686,10,0,9,221
31464,81.34106,3.5417926,37,255,197,0
10098,10.934146,-39.07541,19,0,170,143
37533,25.503254000000002,84.77643,23,0,166,0
79531,10.072245,-2.0180726000000004,30,43,255,0
78076,27.597483,80.39631999999999,23,0,166,0
7167,-40.06881,42.322247,39,255,157,0
73386,-72.98380999999999,9.566228,12,0,102,221
59553,-15.142157999999998,-18.256426,18,0,170,157
45979,-46.184486,-40.99805,4,128,0,145
17876,-38.116188,41.11807,39,255,157,0
54069,76.24101999999999,-0.9478675999999999,15,0,155,215
75924,19.408598,-83.79066999999999,0,0,0,0
68386,-30.062664,59.41141,22,0,154,7
35320,-17.430145,64.43313,47,204,44,44
37587,2.0456494999999997,-52.360092,44,222,0,0
29993,-47.570293,-27.867584,5,130,0,153
10654,40.959084000000004,4.5973387,11,0,56,221
1318,-9.901681,-90.04299999999999,6,77,0,160
31542,-28.984854,-92.180145,10,0,9,221
55347,-88.83955,-14.9195175,8,0,0,181
76203,-4.8853349999999995,-45.321087,24,0,180,0
49312,-93.69516,-31.741093,8,0,0,181
34181,-49.706688,29.73965,9,0,0,205
53669,-74.654434,-4.370184,12,0,102,221
85420,-12.117904,-11.8413,33,211,246,0
76754,-25.333012,71.88202,22,0,154,7
31321,-80.65404000000001,-30.089249,8,0,0,181
59389,16.849926,-9.392044,30,43,255,0
13738,-49.72508,-16.523403,5,130,0,153
32292,-14.411875,-17.816938,18,0,170,157
4293,-15.220460999999998,-31.371879999999997,24,0,180,0
17651,14.621054999999998,-77.995995,0,0,0,0
7492,16.825748,-8.906588000000001,30,43,255,0
49518,-32.165915999999996,-9.366577000000001,5,130,0,153
48140,76.50939,44.424976,38,255,177,0
16774,-90.089355,38.49588,28,0,236,0
79977,8.248868,-39.81978,19,0,170,143
59385,-9.633838,-8.199811,33,211,246,0
23262,33.021572,-47.798832,7,23,0,167
74714,11.133508,19.318384,29,0,249,0
70055,5.93628,-8.209566,33,211,246,0
59825,6.846994400000001,-57.6819,44,222,0,0
36143,-63.604209999999995,6.918947,12,0,102,221
57871,40.791016,72.00308000000001,31,117,255,0
72317,-46.17029,-12.462878,5,130,0,153
28613,48.514374,-24.355183,20,0,167,114
4087,48.301254,66.32624,31,117,255,0
68433,-65.3709,-1.8664851999999998,12,0,102,221
54168,-9.679061,-89.99760400000001,6,77,0,160
79841,-37.940459999999995,-37.749446999999996,4,128,0,145
15199,-47.471336,77.4064,2,93,0,106
12928,54.374233,-66.2715,49,204,204,204
73381,26.241356,80.02632,23,0,166,0
52378,40.515633,19.587528,11,0,56,221
15520,-57.982677,-16.466526,35,242,228,0
22045,-32.165496999999995,-9.366114,5,130,0,153
72948,78.21982,-45.0092,26,0,207,0
77131,41.172,9.476066000000001,11,0,56,221
31344,53.53024,49.67522,3,122,0,138
67279,26.586498,3.3773562999999993,48,204,124,124
77983,-1.4174,68.021164,1,46,0,53
63626,5.5502696,-26.316390000000002,19,0,170,143
59687,-63.925259999999994,-55.18855,43,235,0,0
7220,32.113346,11.18501,21,0,160,61
37862,16.45147,-55.933932999999996,7,23,0,167
65337,-46.910796999999995,60.621258,13,0,127,221
50855,-8.080678,-43.24317,24,0,180,0
39306,61.967648,-12.2281,42,249,0,0
25580,-70.71332,73.44743000000001,13,0,127,221
11754,7.731441499999999,-25.588438,19,0,170,143
71182,-95.24775,-32.83873,8,0,0,181
45089,-64.92673,-37.134277000000004,45,213,0,0
72473,-90.36216,-14.554345000000001,8,0,0,181
77288,25.85347,22.616373,21,0,160,61
4272,-7.980335,-64.9762,25,0,193,0
80898,34.084270000000004,-39.091206,7,23,0,167
31878,56.40606700000001,-55.644684,49,204,204,204
49710,-11.754553,-14.647964000000002,18,0,170,157
2442,5.978956,16.587982,29,0,249,0
19582,44.292145,-34.088924,20,0,167,114
43523,22.684479999999997,50.24476,17,0,168,175
5448,-3.6220483999999997,-62.92306,44,222,0,0
3242,25.295177,-32.35576,32,191,253,0
28801,46.583378,-67.5559,49,204,204,204
4664,-40.6486,41.995525,39,255,157,0
30419,26.107857,37.684886999999996,46,207,0,0
45620,-10.186024,-89.72404499999999,6,77,0,160
32485,-38.829285,-66.03281,40,255,105,0
10574,-54.166256000000004,-15.967413,5,130,0,153
1747,18.988007,-84.51334,0,0,0,0
66251,4.307196599999999,-101.98716,6,77,0,160
35476,-30.684649,-88.196495,10,0,9,221
47407,51.618168,24.25455,3,122,0,138
22035,-34.05925,-10.061952,5,130,0,153
9093,-33.133278000000004,-88.866005,10,0,9,221
55719,-26.921852,68.12614,22,0,154,7
73377,22.768486,72.062256,23,0,166,0
373,13.616862,-78.38367,0,0,0,0
9845,-20.259119000000002,-52.9011,25,0,193,0
7652,28.023645000000002,3.8966699,48,204,124,124
32672,-38.465004,-14.144407999999999,5,130,0,153
57049,27.121843,9.565108,21,0,160,61
53802,53.055580000000006,-60.61384,49,204,204,204
55634,54.2998,36.85905,3,122,0,138
36849,92.546234,-7.390121000000001,15,0,155,215
27325,74.399254,-9.697617999999999,15,0,155,215
18294,-81.71226,-66.41609,43,235,0,0
58705,-26.778599,-29.020628000000002,18,0,170,157
11550,2.0442214,-8.772402,33,211,246,0
35226,53.359352,69.58378,31,117,255,0
72783,28.663364,14.570642999999999,21,0,160,61
49016,-51.244766,-0.5335711,27,0,223,0
66110,51.901833,33.515370000000004,3,122,0,138
7953,-77.81419,22.174654,28,0,236,0
85217,33.22443,-0.4272782,48,204,124,124
72575,-50.654293,-26.203557999999997,5,130,0,153
9772,19.711311,43.82354,17,0,168,175
82910,57.078503000000005,10.032422,11,0,56,221
13238,-20.129607999999998,-29.97294,24,0,180,0
7064,-26.5002,-14.930848000000001,18,0,170,157
5154,-55.45306,-31.945354,4,128,0,145
79897,-25.698357,28.825989,9,0,0,205
24035,65.80044000000001,38.35233,38,255,177,0
73011,54.512337,-66.4378,49,204,204,204
28752,56.448555000000006,-60.735780000000005,49,204,204,204
66491,41.03556,8.18418,11,0,56,221
69330,-31.42907,-88.947266,10,0,9,221
86541,14.613399,-76.92608,0,0,0,0
6812,45.407913,-4.876169,16,0,161,195
8409,-33.373337,-25.289034,18,0,170,157
49739,-9.755894999999999,-89.45218,6,77,0,160
5158,73.210175,-10.553794,15,0,155,215
17808,5.03081,96.4116,1,46,0,53
42819,31.519331,-51.987316,7,23,0,167
38287,-65.65079,-7.215016,35,242,228,0
84792,-75.29930999999999,10.3480625,12,0,102,221
58490,-8.597963,-43.274807,24,0,180,0
39039,86.759384,-5.4873137000000005,15,0,155,215
85339,-13.770354000000001,-44.40195,24,0,180,0
2833,-48.613056,-13.363513000000001,5,130,0,153
